400; Кузьостровские полянья; угодье
401; У Ели; угодье
402; Западница; угодье
403; Софрякова Нива; поле
404; Топкий Ручей; угодье
405; Пески; берег
406; Vouktarvut; озеро
407; Šušin Mihailankodi; дом
408; Lomso; болото
410; Miškahn’el’ähte; колодец
411; Pen’enojunsunso; болото
412; Каскоснаволок; мыс
413; Akinnurmenrodniekku; родник
414; Ильинское поле; угодье
415; Hebojär’v sur’; озеро
416; Pertisel’l’anoja; ручей
418; Прышковская полоса; угодье
420; За Полем; угодье
422; Sur’pihk; урочище
423; Šuutud; урочище
425; Brad; урочище
426; Meijänrandu; озеро
427; Дальние пожни; угодье
428; Zmiiso; болото
429; Заселье; угодье
431; Подсосняжье; лес
432; Бережная Щелья; берег
433; Махаевщина; угодье
434; Toižens’eptang’ögi; река
435; Николаева Чища; угодье
436; Ошков остров; остров
437; Бережная деревня; неизвестно
438; Гремячий Ручей; угодье
439; Галайское болото; болото
440; Jerlamägi; деревня
442; Uitorand; участок
443; Kokanit; покос
444; Sigahonk; покос
446; Габнаволок; мыс
447; Петровская поляна; угодье
448; Jevrejevoid’ed’er’oin’; деревня
449; Пертгуба; залив
450; Лапостров; остров
451; Маленькая полоса; угодье
452; Tomištojaan’e; ручей
453; Lad’jär’so; болото
454; Kebrinanhoum(hut); пожога
455; Vauktain’eg’ärvut; озеро
456; Общая поляна; угодье
457; T’esarad; урочище
458; Pihär’; озеро
459; Северное поле; угодье
460; Kul’jakmägi; неизвестно
461; Tučin; покос
462; Мерохинская Дербина; угодье
463; Panad; урочище
465; Заполек; угодье
466; Stupou; урочище
467; Kortlaht; деревня
468; Vähärjarv; озеро
469; Лельречка; угодье
470; Воротовы Нивы; угодье
471; Ближнее озеро; озеро
472; Reboip’ezad; урочище
473; Sernatoja; ручей
474; Ключи; мост
475; Grigd’ärvut; озеро
476; Северное поле; угодье
477; Летнее поле; угодье
478; Долгие поляны; угодье
479; Котва; залив
480; Uuzipeldo; угодье
482; Plotinanrandu; озеро
483; Olešienpellot; угодье
484; Jogentaga; урочище
485; Ojärvenniitüt; угодье
486; S’oukkangas; урочище
487; Saroja; ручей
488; Šidär’v; деревня
489; Ключи; угодье
490; Ютевщина; угодье
491; Чоргуба; залив
492; Pitksüud; покос
493; Каменный мост; мост
494; Mel’n’icant’e; дорога
495; Plotinanalbong; омут
496; Ondr’eiukonso; болото
497; Jereminkodi; дом
498; Sobal’ähtkut; участок
499; Березов Угол; угодье
500; Än’oja; ручей
501; Мельничное поле; неизвестно
502; Полуденное поле; угодье
503; Закижская луда; луда
504; Замошница; угодье
505; Сухойгуба; залив
506; У Крестика; угодье
507; Gord’eiukonhoumeh; покос
508; Pen’gär’v; озеро
509; Burhanoja; ручей
510; Конецгубья; угодье
511; У Воротни; угодье
512; Попова Нива; угодье
513; Маркова Орга; урочище
514; Mägel’čedp’eedod; поле
515; Боровойново поле; угодье
517; Запольки; угодье
518; Карпинские пожни; угодье
519; Kodirandu; озеро
520; Hir’jär’v; озеро
521; Pušoins’üug(an)barbik; урочище
522; Nem’; хутор
523; Лопата; угодье
524; Palanusar’; остров
525; Каменка; угодье
526; Kivišt; покос
527; Раньково; деревня
528; Большое озеро; озеро
529; Vähär’; озеро
530; Бережская дорога; дорога
531; Topk; урочище
532; Mägipüud; поле
533; Пажемское озеро; озеро
534; Plavilen; поле
535; Särkänmägi; неизвестно
536; Косельга; гора
537; Курняйнаволок; мыс
538; Tanhoine; деревня
539; Koin’em’; мыс
540; Каменный бор; лес
541; За Бором; урочище
542; Süudeiso; болото
543; Усть-Яндома; деревня
Поляна;  расположенная слева от дорог из Вороньего Сотрова в Типиницы (считая от Вороньего Острова); угодье
545; Pečoisar’; остров
546; L’et’so; болото
547; Sur’so; болото
548; Papinkangaz; поле
549; Krestanso; болото
550; Savihoud; поле
551; Suurisuo; болото
552; Картофельник; угодье
553; Котва; залив
554; Заборье; лес
555; Мхи; угодье
556; Вторая поляна; угодье
557; Čurojain’e; ручей
558; Высоконивская губа; залив
559; Киселева поляна; угодье
560; Лазнаволоцкий ручей; ручей
561; Чекша; остров
562; Долгая Сельга; неизвестно
563; Канавка; неизвестно
564; Paak; неизвестно
565; Šar’g’äkso; болото
566; Воронская луда; луда
567; Koputanhaudain’e; урочище
568; Gramot; урочище
569; Чупа; угодье
570; Pustantaga; участок
571; Корежье; ручей
572; Марковщина; урочище
573; Сергеевщина; угодье
574; Habg’är’v sur’; озеро
575; Укнева; нива
576; В Устожьем У Гумна; угодье
577; Čoga; поле
578; Погостская Засельга; неизвестно
579; Половинная луда; луда
580; Голубцова Нива; угодье
581; Мареница; угодье
582; Oksankaiv; колодец
583; Perevozniig’är’v; озеро
584; Укошельские ламбы; озеро
585; Гавдай; остров
586; Бурковщина; угодье
587; Телятник; остров
588; Никитовщина; угодье
590; Теребой Наволок; мыс
591; Trusamägi; поле
592; Huht’eiso; болото
594; Гомсельга; угодье
595; Романский покос; угодье
596; Lačunniittü; угодье
597; Puust; урочище
599; Под Кибреколье; угодье
601; Šigoilt’e; участок
602; Тройники; остров
603; Ушовицы; угодье
604; Septaližed n’itud; покос
605; Гладкие Нивища; угодье
606; N’em’so; болото
607; Чища; угодье
608; Крайняя полоса; угодье
609; Крюк; угодье
610; Haadso; болото
611; Корбозерский бор; лес
613; Pitkänojansildu; мост
614; Ignatoja; покос
616; Korvoil; деревня
618; Северное поле; угодье
619; Ivanovanrandu; участок
620; Ямка; остров
621; Ближняя поляна; угодье
622; Pihänhaabišt; урочище
623; Nin’mäged; покос
625; Luodo; луда
626; Gagar’järveet; озеро
627; Mitrejanlog; урочище
628; Верхний Тереб; угодье
629; Размайка; угодье
630; Vas’kunn’it; покос
632; Sondalnüt; покос
633; Ves’tar’vso; болото
634; Копаевская полянка; угодье
635; Oksankaiv; колодец
636; Юрьевщина; угодье
637; Лимбокова поляна; угодье
638; Uit; участок
639; Natk; река
640; Čagl’ad; деревня
641; Ahvenoja; ручей
642; Kond; деревня
643; Buht’amägi; гора
644; Sen’kinanso; болото
645; Sägär’(v); озеро
646; Каскосельга; деревня
647; Siidjär’v; озеро
648; Kupin Pešankodi; дом
649; Niemenniittü; угодье
650; Проездная Салма; луда
651; Slabadd’ögi; река
652; Kangazpöudod; поле
653; Kurzoja; ручей
654; Sagažd’är’f; озеро
655; Северное поле; угодье
656; Pärjär’v; озеро
657; Soum; поле
658; Mudoja; ручей
659; Малая губа; залив
660; Makar; урочище
661; Лимбаковские пожни; угодье
662; Кибреколье; гора
663; Задолгий Мост; неизвестно
Судя по расположению;  название связано с тем; угодье
664; Маяк; угодье
665; Ильинский холм; гора
666; Hagoja; покос
667; Сельгостров; остров
668; Романостров; остров
670; Румянка; луда
671; Большая поляна; угодье
672; Hebolambi; озеро
674; Hiin’sarut; мель
675; Matinniitüt; угодье
676; Путяный Бор; лес
